UserName,Handle,Timestamp,Text
Barry Chan Kong Heng,@barrychan889,2020-08-27T10:37:21.000Z,"Latest Status COVID-19 of Malaysia on August 27, 2020

Total Active Cases: 177 (New Cases: 5)

Total ICU Cases: 8 (Intubated: 6)

Total Recovered Cases: 8994 (New Recovered Cases: 16)

Total Deaths: 125 (New Deaths: 0)

Total Confirmed Cases: 9296"
Adam Naseer Mohamed,@AdamNaseerMoha8,2020-08-26T10:21:30.000Z,"Number of confirmed #COVID19 cases in the last 14 days. 

-Srilanka: 88
-Bhutan: 43 
-Malaysia: 182
-Thailand: 50
-Taiwan: 10

Maldives: 1,803

And yet the gov keeps insisting that they have the situation under control, while using COVID as a safety net for their incompetence."
The Edge Malaysia,@theedgemalaysia,2020-08-26T09:07:03.000Z,Flash: Malaysia's new Covid-19 cases fall to six; three from Tawar cluster
Barry Chan Kong Heng,@barrychan889,2020-08-26T09:01:43.000Z,"Latest Status COVID-19 of Malaysia on August 26, 2020

Total Active Cases: 188 (New Cases: 6)

Total ICU Cases: 9 (Intubated: 6)

Total Recovered Cases: 8978 (New Recovered Cases: 7)

Total Deaths: 125 (New Deaths: 0)

Total Confirmed Cases: 9291"
Hussain Naais,@HussainNaais,2020-08-26T06:05:46.000Z,"Number of confirmed #COVID19 cases in the last 14 days. 

-Srilanka: 88
-Bhutan: 43 
-Malaysia: 182
-Thailand: 50
-Taiwan: 10

Maldives: 1,803

And yet the gov keeps insisting that they have the situation under control, while using COVID as a safety net for their incompetence."
Kelly Telly,@TweetKellyTelly,2020-08-26T05:54:07.000Z,I hope some local directors are already prepping to make an epic film on how Malaysia fight COVID-19 
fira,@molaritea,2020-08-26T01:24:27.000Z,"Never another day when the ministers in malaysia dont disappoint the public with their fucked up morals look at these ugly boomers...u think dodging a question about covid's sop by calling the younger minister a ""child"" is gonna make you look smart and wiser huh"
Unions NSW,@unionsnsw,2020-08-26T00:59:47.000Z,"How the NSW Liberal Government supports local jobs in NSW:

- Ferries from China
- Trams from Spain
- Trains from South Korea
- Buses from Malaysia

But because of COVID-19 you can't even move overseas to where they send our jobs! "
달빛,@azrkhrlkhld,2020-08-25T17:35:26.000Z,"Might as well go back to malaysia and get vaccinated for covid, in case nihon might vaccinate us gaijins later"
Nika Mo,@BentaraNikA,2020-08-25T17:08:43.000Z,"Kalau kena layoff Kat sini (Toronto) Kita Ada Employment insurance untuk bayar 65% gaji while looking for job, and it's not from our retirement fund.

Even when I was absent, EI didn't even ask for medical note (due to covid-19) 

Just wondering Kat malaysia apa equivalent of EI?"
PoliWonkie,@PoliWonkie,2020-08-25T16:47:49.000Z,"After four months' delays FDA has finally approved further development and trials of another COVID-19 vaccine candidate (not tied to big pharma).

Same vaccine undergoing licensing and trials in Canada and Malaysia.

Also point of care rapid testing being finalized."
Johns.,@CricCrazyJohns,2020-08-25T14:40:55.000Z,"ICC Men's CWC Challenge League A has been postponed due to COVID-19 - Canada, Denmark, Malaysia, Qatar, Singapore, Vanuatu were set to play 15 List-A matches."
Isra S. Sati,@israsati,2020-08-25T14:07:56.000Z,"Can I fast forward to day after my COC. Taking a grab, going to the airport, escaping work for 4-6 weeks !!

This has been the longest I stayed in Malaysia 
 BAD COVID !!"
The Edge Malaysia,@theedgemalaysia,2020-08-25T09:21:05.000Z,"Flash: Malaysia records 11 new Covid-19 cases, exceeding six new recoveries today"
Barry Chan Kong Heng,@barrychan889,2020-08-25T09:18:54.000Z,"Latest Status COVID-19 of Malaysia on August 25, 2020

Total Active Cases: 189 (New Cases: 11)

Total ICU Cases: 8 (Intubated: 6)

Total Recovered Cases: 8971 (New Recovered Cases: 6)

Total Deaths: 125 (New Deaths: 0)

Total Confirmed Cases: 9285"
Twit2,@Twit209607093,2020-08-25T00:03:57.000Z,"How Malaysia’s economy shows even doing the right things after Covid didn’t help
Aiyo, all these were not done for Malaysian interests la, they were all for the alibaba gang to gain controls and positions illegitimately and not giving a hood to the economy"
NewsRadio - TNLRN,@newsradiolk,2020-08-23T16:05:34.000Z,"The number of COVID-19 cases confirmed in Sri Lanka increases to 2,953.
Six cases reported today.
- Three arrivals from the UAE
- Two arrivals from Malaysia 
- An arrival from Kenya
#SriLanka #Lka #COVID19LK"
Kabin,@iamkabin,2020-08-23T15:55:45.000Z,"125 people dying in #Malaysia due to #COVID19 is ONE TOO MANY!!! How are we not absolutely abhorred at Azmin making comments about covid-related death, implicating Malaysia under #pakatan government would have seen more deaths!!? Not funny at all"
