UserName,Handle,Timestamp,Text
himawari,@chochongok,2020-10-27T16:39:54.000Z,"I feel like there’s something off about people posting the daily covid rates on malaysia and focusing on kl and not sabah. I’m not saying an increase of 100+ isn’t bad I’m saying compared to 400+, I think the latter should also get attention"
yaajmnie,@nazatulsafiah,2020-10-27T16:24:07.000Z,"Taehyung
I was so happy when I got this notice from BTS! First,I love you. Whenever I am sad too,I will watch the previous video and sometimes I will re-watch run bts! Before that, I am from Malaysia. Please take care for ourselves. I hope covid-19 go fast!
I miss you
#TO_BTS"
yaajmnie,@nazatulsafiah,2020-10-27T16:17:12.000Z,"For RM
along with my friends and when I always watched bts videos before.  I really miss the concert before, I miss you guys with the positive words that make me better. A longing that cannot be expressed in words. I hope covid - 19 can go fast.  Im frm Malaysia army!
#TO_BTS"
Yasmin Syahirah,@yasminkhushairi,2020-10-27T12:22:43.000Z,"My sister just told me Malaysia doesn’t have daily PC for covid. Is there really no way for all the menteri to take responsibility for the outbreak? Or give any explanation? Announcement alone is not enough, where is democracy?"
General Sani.,@003sani,2020-10-27T11:28:36.000Z,"Covid-19: 835 new cases, death toll now at 238 with two new fatalities (updated) 

Today, Malaysia is competing in holding the highest number of the victim of Covid 19. This include also the number of death."
nazree @ chezb,nazree @ chezb,2020-10-27T10:52:55.000Z,"Angka Covid 19 Malaysia - 27 Oktober 2020:
Kes baharu: 835 kes
Kes pulih: 238
Kematian: 2

Malaysia Covid 19 Numbers -27 October 2020:
New cases: 835 cases
Recovered: 238
Deaths: 2

Stay safe & mask up everyone! 
#kitajagakita   
#covid19Malaysia
#Covid19 #whatthestorymalaysia"
Barry Chan Kong Heng,@barrychan889,2020-10-27T10:52:03.000Z,"Latest Status COVID-19 of Malaysia on October 27, 2020

Total Active Cases: 9,903 (New Cases: 835)

Total ICU Cases: 89 (Intubated: 32)

Total Recovered Cases: 18,499 (New Recovered Cases: 674)

Total Deaths: 238 (New Deaths: 2)

Total Confirmed Cases: 28,640"
Barry,@bbarrygood,2020-10-27T10:21:07.000Z,"If it wasn't for those power crazy selfish fucks, Malaysia could've been covid free by now... just saying"
TheMalaysianInsight,@msianinsight,2020-10-27T10:03:18.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 238 with 2 new deaths today.

* 674 discharged, total now is 18,499
* 835 new cases, total now is 28,640
* 9,903 active cases
* 89 in ICU, 32 on ventilators

#kitajagakita 
#StaySafeStayHealthy"
#SabahPause,@sabahpause,2020-10-27T08:10:50.000Z,#SabahPause is an invitation to each of us the body of Christ to pause about 20 minutes to PRAY each 8.20AM/PM where ever we are. Pray for any items that we wish to pray for the current situation in Sabah even in Malaysia for the Covid-19 pandemic and our governance stability.
Elsie Low,@LowElsielow,2020-10-27T05:27:10.000Z,"In Malaysia, it is the believe that only one race matters that her politics has become so corrupt to the core and so Covid-19 

Azly Rahman"
✩♔ Ädek ,@AdekF4,2020-10-27T04:46:34.000Z,"On the phone with 
@MAS
, making another change to my flights. Let’s hope there’ll be no more changes after this. And I pray to Allah that COVID-19 will be arrested, curbed and halted for good soon in Malaysia and around the world, ameen"
WordsManifest,@wordsmanifest,2020-10-27T00:17:31.000Z,"there were 1240 new covid cases in Malaysia yesterday

one thousand two hundred and forty

last week it was 600+, which in itself was a national record

please stay safe

and please keep other people safe

by not being a careless idiot"
james freeman,@James_22Freeman,2020-10-26T22:09:23.000Z,"Time for Supply and Amendment Bill , after all through GE14 and Covid 19 MALAYSIA Politics look like  Tribal  Politics , Are we headed like the Aztecs. In years to come we will end up in a Museum #Thankyou Chedet your legacy has created  National Dilemma."
khalilminawi,@khminawi,2020-10-26T20:44:03.000Z,"Expert says new cases of Covid-19 could be 100,000 per day in France. Here are other updates

Flag of Iran Iranian minister warns of 600 daily deaths
Flag of Malaysia Malaysia reports 1,240 more infections
Flag of Russia Russia's reports new record high of 17,347 daily cases"
hellopin,@PinShen196,2020-10-26T16:26:50.000Z,"Can anybody tell why #Sabah has so many #COVID__19 cases? If the election did not conduct earlier, will the situation become that worse? Let's all #rakyat in Malaysia pray for Sabah."
PossumAndItaly,@PossumCT,2020-10-26T16:19:12.000Z,"Malaysia’s Prime Minister Yassin is facing calls to resign after the opposition accused him of using the pretext of the Covid-19 pandemic to grab more political power. 
Sound familiar?"
azmi khannas,@azmikhannas,2020-10-26T15:20:26.000Z,"Perang pandemik #COVID belum tamat, perang lain pula timbul... 

#politikus Malaysia
#FightForTheRight

RIP chaotic politician in next GE
Those cannot 'pakai' 
The victims are the people. Turn out its people mistake. 'Terimalah the fact people'"
KEROPOrK,@Izraa,2020-10-26T11:20:52.000Z,"Lepas PKPB, someone should bubar parlimen or something. we need to increase the rate of covid infection back to maximum immediately.

then we PKPB again.. then do another election.

until sume org malaysia mati"
Center for Market Education,@CenterforMarke1,2020-10-26T10:45:28.000Z,"Every day in Malaysia around 315 die. 50 of them die of ischaemic heart diseases. Almost 12 die in transport accidents. 

Just to put the Covid-19 deaths into a statistical perspective."
The Kapsiao Times,@thekapsiaotimes,2020-10-26T10:35:15.000Z,"The Yang Di-Petuan Agong, Sultan Abdullah, had yesterday declined PM 
@MuhyiddinYassin
's request for a state of Emergency to curb Covid-19. For this week, we will be taking a look at the monarchy in Malaysia and the role it plays in our society. Stay tuned!"
