UserName,Handle,Timestamp,Text
Feekry,@Feekry4u,2020-03-30T23:50:20.000Z,Malaysia one of the few countries which reacted early but lost precious time during the period of being rudderless (Sheraton Move) in combatting COVID-19. Proof of political selfishness and greed putting the nation in dire straits.
Tan Sri Dato Dr Hj Mujeebudeen,@TSDMujeebudeen,2020-03-30T23:22:09.000Z,"info COVID19

just a Month ago TRUMP boastingly said USA is well protected from COVID

look at them NOW, they are the HIGHEST INFECTED in the world with 162,000 cases. 3000 DIED.!!

all i'm asking u MY FAMILY (Bangsa Malaysia) stay at home and keep social distancing.

TELL OTHERS"
Imtiaz Haidar Official,@Imtiaz_Haidar16,2020-03-30T23:17:29.000Z,"Only the courage people can defend their country from any territory. In Malaysia, thanks to Polis Diraja Malaysia ( PDRM), Angkatan Tentera Malaysia ( ATM ), doctors and groceries who sacrificed their time on being the frontliners in order to forbid the spread of the covid - 19."
a little bit of a lot,@shairazi_muhd,2020-03-30T22:40:44.000Z,"Covid-19 is still in exponential rate in Malaysia, be careful and keep safe everyone
#Malaysia #COVIDー19 #StayAtHome"
Dewi Miyo,@thablackcat,2020-03-30T20:48:53.000Z,"I been keeping myself updated with the status of the Covid-19 in Malaysia & the world. Too obsessed, I guess. Probably that’s why I’m stressed & had 3 panic attacks ever since this whole pandemic took place. I need a good rest"
Ashutosh,@AshutoshV10,2020-03-30T18:54:24.000Z,"6 Telangana people who attended Nizamuddin religious event died due to COVID-19 today.

Over 2000 people including from Indonesia and Malaysia had attended the event from March 1-15.

Among these 200 have been suspected of COVID-19.

#Nizamuddin #coronavirus"
COVID-19,@covid19_status,2020-03-30T18:43:10.000Z," - Today, we have  2626 cases in Malaysia. #COVID19 #coronavirus #coronavirusMalaysia #covidMalaysia"
Nana.,@nanakhals,2020-03-30T18:06:12.000Z,"Pls , pls , pls Malaysian , do not being so selfish . Malaysia are now getting ready for the Third Wave of Covid-19 . If this happen , we will be like China and Italy where theres a lot of people die in just a day . So pls , stay at home , quarantine yourself , and stay healthy ."
∆ P R A N A Y ∆,@pranay_purohit,2020-03-30T17:44:34.000Z,"A similar congregation led to most of the cases in Malaysia. These people should be criminally prosecuted

Delhi’s Nizamuddin Cordoned Off After Over 200 Developed Symptoms Of COVID-19, Area Had Held A Tablighi Jamaat Event"
Ram Ahgir,@RamAhgir2,2020-03-30T17:32:16.000Z,300 people in Delhi taken to different hospitals to be tested for coronavirus after a gathering at a mosque that featured visitors fm Malaysia n Indonesia. One man has died n 10 have tested positive for COVID-19 revolve around de gathering of at Banglewali Masjid in Nizamuddin.
Puran Maroriya,@Sasta_lekhak__,2020-03-30T17:27:46.000Z,"This is the largest group being tested over suspicion of COVID-19

Mosque event had visitors from Malaysia, Indonesia and Saudi Arabia

1 man died and 2 others tested positive after attending the event

#Nizamuddin #Nizamuddin 
#Coronavirustruth"
Arcus,@MetManB,2020-03-30T17:20:37.000Z,If you local media folks don't figure out smart and new ways currently to hold on to your returning viewers post-Covid... #braindrain #closethedamnshop #Malaysia
bw,@sssyiaa,2020-03-30T15:41:40.000Z,"Do fan meeting in MALAYSIA after COVID-19 
@bbrightvc
 @winmetawin
 #FantalkwithWin"
Cik Rose,@eqcreativemy,2020-03-30T15:21:15.000Z,"Top 10 DEATH COVID-19 in the ASIA (30/3/2020):
China: 3,313
South Korea: 158
Indonesia: 122
Philipine: 78
Japan: 54
Malaysia: 37
India: 29
Thailand: 9
Bangladesh: 5
Singapore: 3

#COVIDー19 
#CoronavirusPandemic 
#StaySafeStayHome"
COVIDBot,@COVID19_bot,2020-03-30T15:20:16.000Z,"Latest COVID-19 data for Malaysia: 2,626 cases, of those 156 today; 37 deaths, of those 2 today.

A 1.41% fatality rate."
saileashkumar,@saileash,2020-03-30T15:17:46.000Z,"MOH Announces 156 New Cases Of Covid-19 In #Malaysia, Total Now At 2626

#Coronavirustruth #TheLockdown #CODVID19 #coronaupdate #StayAtHome #lockdown #codvid19 Stay Safe #coronalied #letslovesuho #suho #thelockdown #staysafe #SGUnited #Day4 #SomeGoodNews #NationalDoctorsDay"
Mkyari,@IamMkyari,2020-03-30T15:15:56.000Z,"Malaysia has 70 hospitals for screening #Covid_19 nationwide & 38 with admission facilities. Today alone, they have recorded 91 recovery of patients infected with the Covid virus. Only today, 394 beds have been added in the facility in anticipation of any more cases."
Abubakar Hidima Ph.D.,@Realoilsheikh,2020-03-30T15:14:28.000Z,"Malaysia has 70 hospitals for screening #Covid_19 nationwide & 38 with admission facilities. Today alone, they have recorded 91 recovery of patients infected with the Covid virus. Only today, 394 beds have been added in the facility in anticipation of any more cases."
Cik Rose,@eqcreativemy,2020-03-30T15:07:06.000Z,"Top 10 CASE COVID-19 in the ASIA (30/3/2020):
China: 82,418
South Korea: 9,661
Malaysia: 2,626
Japan: 1,866
Philipine: 1,546
Thailand: 1,524
Indonesia: 1,414
India: 1,071
Singapore: 879
Vietnam: 203

#COVIDー19 
#CoronavirusPandemic 
#StaySafeStayHome"
Joshua Wong,@Joshuahua,2020-03-30T15:00:41.000Z,How Singapore & Malaysia handle covid-19 are totally different.
transient,@transientmatter,2020-03-30T14:47:36.000Z,"I hope covid-19 will end before Syawal. I am worried about mass movement prior to Aidilfitri. That will be disastrous

#Malaysia #COVID19"
NFG_Damaged,@DamagedNfg,2020-03-30T14:27:25.000Z,"Jack Ma the founder of Alibaba is donating face mask to the South East Asia countries such as Malaysia, Thailand, Indonesia, Vietnam and ethical cetera. The US is being punished because of the US president! SMFH #Covid_19 #coronavirus #PresidentCovid #Coronavirustruth"
حفيظه,@norahafizah_,2020-03-30T13:56:54.000Z,"Lagi takleh brain, tok imam laungkan takbir raya, tapi takde sape nyahut kat belakang aaaa 
 i dont want this happennnn 
 covid please go away from us! Get well soon Malaysia and earth"
Ryan Kuhn,@Ry_man_sums,2020-03-30T13:46:49.000Z,"My daily Corona mindsets:
1) 13 million people in Ohio and we only have 1500 cases?! What a joke. 

2) wow. This is serious, a lot of people could die from this. This is unprecedented. Cancel summer. 

3) COVID-19 could melt steal beams.  Malaysia Flight 370. Dots connected."
Jay T,@Tjay043,2020-03-30T13:43:15.000Z,"With the new malaysia mco 8am till 8pm, is that not forcing more crowds to gather, thus making it easier to spread covid-19. what about  doctors and nurses who work from 8til8, they can't get any food. Hmmm please share"
thepurplecotton,@lynhyhy,2020-03-30T13:23:39.000Z,"Decided to read something light as covid was too despair,... “the way they are unfolding now, we are now more convinced than ever before that this period will now seal a point of no return for #Malaysia, ...our economy wil not die but will not perform either.” -iCapital "
IndiaNamo,@IndiaNamoS,2020-03-30T13:16:41.000Z,"Nizamuddin:
#Breaking 
175 Tested, 2,000 At Risk After Delhi Mosque Event.

This is the largest group being tested over suspicion of COVID-19

Mosque event had visitors from Malaysia, Indonesia and Saudi Arabia

1 man died and 2 others tested positive after attending the event"
Mohit Shah,@anonymousUK07,2020-03-30T09:19:47.000Z,"JUST IN: 

156 new cases of #Coronavirus and 3 new deaths in Malaysia. 

Total reaches 2626 confirmed cases and 37 deaths
#Covid_19 #coronavirus #CoronavirusLockdown #COVIDIDIOTS #StayHomeIndia #CurfewInIndia #21daysLockdown #coronavirusindia #StayHome
 #CompleteLockdown"
TheMalaysianReserve,@TMReserve,2020-03-30T09:16:56.000Z,"JUST IN: Malaysia records 156 new Covid-19 cases, bringing the total to 2,626. Three more deaths recorded, bringing it to 37"
