UserName,Handle,Timestamp,Text
"Eh, Rezzuan ni",@RezzuanRahim,2021-03-28T05:03:13.000Z,"Someone (dentist) said to me that the death rate of covid in Malaysia is less than 1%. No need take a vaccine. You can still 'survive' from covid.

Well, you can 'survive' a car accident too, doesn't mean you shouldn't wear a damn seatbelt."
LoveMGBoys⁸•²,@LoveMGBoys1,2021-03-27T13:16:32.000Z,"Let's meet for real after covid gone. I hope it will be soon. 
Now we seems so near yet so far.
#AskSHOPEEAdMEW

PS I'm from Malaysia"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-27T13:14:17.000Z,"Malaysia COVID 27/3

Confirmed : 340,642 [+1,199] 5 imported
Recovered : 325,182 [+1,257]
Deaths : 1,251 [+2]
ICU : 167 [+6]
Intubated : 72 [+2]
Active Case : 14,209 [-60]

Vac
1st dose : 446,617 (+3,493)
2nd dose : 104,931 (+11,374)

Registered
People : 7,094,484 (+170,147)"
dumb ty,@bangkedani,2021-03-27T10:38:34.000Z,"one or two of my family members in Malaysia just got tested positive for covid. worse case scenario, the wife (my cousin's aunt) is pregnant. i hope and pray for their recovery..."
Pk,@Dat_fangirl131,2021-03-27T10:13:13.000Z,Wait which acc shows malaysia's covid cases again I haven't seen any updates on the tl for a while
TheMalaysianInsight,@msianinsight,2021-03-27T10:06:03.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,251 with 2 new deaths. 
* 1,257 discharged, total remain as 325,182.
* 1,199 new cases, total now is 340,642.
* 14,209 active cases
* 167 in ICU, 72 on ventilators. 

#StaySafe"
The Edge Malaysia,@theedgemalaysia,2021-03-27T08:42:03.000Z,"Flash: Covid-19 : Malaysia reports 1,199 new cases"
Ahmad Fakhrullah Asri,@distinctXI,2021-03-27T02:40:50.000Z,"When covid is over, 
@BABYMETAL_JAPAN
  you better come and have a concert in malaysia"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-27T01:13:27.000Z,"Another day where

1) KKM should test & trace way more aggressively towards all states (especially hard hit states) & reveal test data for all states as well because most of daily tests could come from Klang Valley alone

2) Spread the info widely for 'added groups' in Phase 2 !"
Ram Ahgir,@RamAhgir2,2021-03-26T21:48:00.000Z,"Pre-Covid-19, over 350,000 travellers crossed de land border daily, when land travel with S'pore resumes, Malaysian workers may find their jobs gone. S'pore Malaysia, making it the busiest land checkpoint in the world. They performed laborious roles as food servers n cleaners."
Luqman Rustam,@LuqmanRustam,2021-03-26T18:39:16.000Z,I’m 2+~ weeks clean from masturbation so if I ejaculate then covid won’t be the only pandemic Malaysia will be facing
Amin Kamrani,@citizenofasia,2021-03-26T17:14:49.000Z,Malaysia's parliament is the only place that is not functioning because of Covid-19. But then MPs of both parties have been vaccinated earlier than many of those who work in hospitals.
Tan Seng Giaw,@Senggiaw,2021-03-26T13:14:07.000Z,"The rate of Covid-19 infection in Malaysia is going up. The effective reproduction number is over 1.0. The virus can spread easily.
     People continue to follow preventive measures such as wearing masks and distancing. More citizens receive Covid-19 vaccines. Avoid a new wave?"
TheMalaysianInsight,@msianinsight,2021-03-26T09:47:46.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,249 with 1 new death. 
* 1,509 discharged, total remain as 323,925.
* 1,275 new cases, total now is 339,443.
* 14,269 active cases
* 161 in ICU, 70 on ventilators. 

#StaySafeStayHealthy"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-26T09:47:03.000Z,"Malaysia COVID 26/3

Confirmed : 339,443 [+1,275] 32 imported !!!
Recovered : 323,925 [+1,509]
Deaths : 1,249 [+1]
ICU : 161 [+4]
Intubated : 70 [-2]
Active Case : 14,269 [-235]

Vac
1st dose : 443,124 (+6,437)
2nd dose : 93,557 (+19,268)

Registered
People : 6,924,337 (+394,631)"
Pulotutui,@Pulotutui,2021-03-26T06:32:26.000Z,"Friendly reminder to one sports taping brand from Malaysia. If you cant or dont have a plan to honour the sponsorship deal, please do have a face not to associate yourself with the club for the past, present or future. 

P/s: Dont use covid as an excuse."
Jcgrey97,@mrsgreychia,2021-03-25T10:32:41.000Z,"It seems like COVID numbers in Malaysia continue to remain stagnant, no apparent sign of reduction in numbers 
 When lah I can go back Melaka "
TheMalaysianInsight,@msianinsight,2021-03-25T09:44:07.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,248 with 2 new deaths. 
* 1,491 discharged, total remain as 322,416.
* 1,360 new cases, total now is 338,168.
* 14,504 active cases
* 157 in ICU, 72 on ventilators. 

#StaySafe"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-25T09:29:17.000Z,"Malaysia COVID 25/3

Confirmed : 338,168 [+1,360] 1 imported
Recovered : 322,416 [+1,491]
Deaths : 1,248 [+2]
ICU : 157 [-4]
Intubated : 72 [-1]
Active Case : 14,504 [-133]

Vac
1st dose : 436,687 (+6,319)
2nd dose : 74,289 (+22,668)

Registered
People : 6,529,706 (+87,494)"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-25T08:22:02.000Z,"Malaysia Vaccination

Phase 2 (April onwards)
- 60 years old & above + people with comorbidities

Government will prioritise frontline workers in crucial economic sectors, especially from red states into the Phase 2 as well due to low/slow registration from the high risk groups"
Newssy_12,@NewsWorldRight1,2021-03-25T05:24:29.000Z,Fourth wave of Covid-19 in Malaysia may kick off in Sarawak first.
Jason Ng,@ByJasonNg,2021-03-25T04:05:24.000Z,"S&P just cut Malaysia's growth forecast for this year to 6.2% vs 7.5% previously citing rising Covid-19 infections.

Markets go meh. MYR weakened quite a bit; KLCI down 0.2% amid mixed markets; 10-year MGS yield dipped."
魔,@huiwae,2021-03-24T11:34:29.000Z,"so a kid from sjkc damansara kena covid and the school still dw to close down and they are asking the students to come to school

i love malaysia "
TheMalaysianInsight,@msianinsight,2021-03-24T09:51:21.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,246 with 2 new deaths. 
* 1,083 discharged, total remain as 320,925.
* 1,268 new cases, total now is 336,808.
* 14,637 active cases
* 161 in ICU, 73 on ventilators. 

#StaySafe"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-24T09:42:23.000Z,"Malaysia COVID 24/3

Confirmed : 336,808 [+1,384] 5 imported
Recovered : 320,925 [+1,083]
Deaths : 1,246 [+2]
ICU : 161 [+13]
Intubated : 73 [+11]
Active Case : 14,637 [+183]

Vac
1st dose : 430,368 (+8,310)
2nd dose : 51,621 (+20,760)

Registered
People : 6,442,212 (+105,407)"
The Edge Malaysia,@theedgemalaysia,2021-03-24T09:21:03.000Z,"Flash: AstraZeneca Covid-19 vaccine safe for use in Malaysia, says Adham"
eden,@phngyxng,2021-03-24T07:34:23.000Z,Tbh I really have no idea about the covid situation Malaysia is facing right now lol Idek schools have reopened and lectures are resumed lol I’m clearly unbothered
MSU Malaysia,@MSUmalaysia,2021-03-24T06:00:21.000Z,"Private Specialist Hospital in Shah Alam MSU Medical Centre (MSUMC) has been appointed to a national role in Malaysia’s COVID-19 immunization programme.
@msumcmalaysia
Read more "
Tan Seng Giaw,@Senggiaw,2021-03-24T05:14:44.000Z,"Malaysia has allocated RM280 billion to stimulate the economy and to assist people affected by Covid-19 pandemic. This includes Pemerkasa (Empower People): welfare, business, small and medium enterprises. We hope that the money is used effectively without wastage."
DHL Express Malaysia,@DhlExpressMY,2021-03-24T05:11:29.000Z,"Economic and Commercial Counsellor at the Embassy of #Spain in Malaysia, Ines Perez-Durantez noted that trading relations between Spain and Malaysia have been on 
solid ground and are expected to continue on the upward trend 
post-Covid-19. 

#trade #trading #COVID19"
𝐍𝐈𝐓𝐑𝐎,@Zackyrif,2021-03-23T13:42:47.000Z,"So heartbreaking when my close cousin in Malaysia was skyping with my dad before being in an Induced coma from covid-19 and with all her strength, she asked my dad,

Cik Jaffar tolong Du'akan Nandi OK?

Allahu, even more heartbreaking to see my dad tear up after that. "
Tan Seng Giaw,@Senggiaw,2021-03-23T03:15:25.000Z,"Covid-19 pandemic began in December, 2019. Hitherto, the world records a total of over 123 million cases and 2.72 million deaths. Malaysia has 334,156 cases and 1,238 deaths. Condolences to the families of the victims.
     We carry on with the war against this pandemic."
Hamzah Nazari,@HamzahNazari,2021-03-23T02:50:02.000Z,"Dear Malaysia,
Can we NOT politicise the fight against Covid and vaccinations, please?
It clearly didn't work out well for the US when they did that.
Can we all just support the science and not try to place blame or claim the credit?
Thanks."
easyWOK,@fararoche,2021-03-23T02:25:55.000Z,Only in malaysia time covid banyak to be done and solved tapi parliament tak bukak 
Morning Draft,@MorningDraft,2021-03-22T22:53:02.000Z,"Morning Draft Malaysia

- Over 1,000 projects with RM5.01bil allocated for Sabah under 12MP this year.
- Covid-19: 6,155,213 people or 25% of the targeted population have registered for immunization, says Khairy."
⋆ ˚♡｡⋆ 𝖒𝖆𝖓𝖉𝖞 ⋆｡♡˚ ⋆,@M4NDYYYY,2021-03-22T20:03:08.000Z,ZERO COVID CASES MALAYSIA ZERO COVID CASES MALAYSIA ZERO COVID CASES MALAYSIA ZERO COVID CASES MALAYSIA
ian bremmer,@ianbremmer,2021-03-22T15:10:00.000Z,"Asia. Doses of covid vaccines administered per 100 people
 
Singapore 13.5
China 5.2
India 3.3
Indonesia 2.9
Malaysia 1.3
Japan 0.5
Philippines 0.2
Thailand 0.1
 
-Our World in Data"
Mika91_MalaysianGamer,@Fa_Aalia91,2021-03-22T13:48:07.000Z,"We have this slogan in Malaysia for Covid 19, ""KitaJagaKita"". Translation: Protect each other. I am an Asian Muslim from Malaysia 
 . I've seen the peace rallies in all over US for the #AsianLivesMatter I thank everyone who stand up for my brothers and sisters  #ProtectEachOther"
𝐍𝐈𝐓𝐑𝐎,@Zackyrif,2021-03-22T11:30:42.000Z,"My cousins in Malaysia are really having a tough time with Covid... 3 confirm cases within the cousins already.

May Allah ease the situation in Malaysia and everywhere else. Amin. "
"YVAN, and the Y stands for #YNWA",@yvanchristian,2021-03-22T09:36:54.000Z,"7-day average for new daily Covid-19 cases in Malaysia.

21st Jan : 3,528
21st Feb : 2,757
21st Mar : 1,325

Visible declining trend in 3 months. Encouraging, since the 7-day average when we enter February was higher than 4,500 of daily new cases."
TheMalaysianInsight,@msianinsight,2021-03-22T09:31:08.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,238 with 5 new deaths. 
* 1,495 discharged, total remain as 318,784.
* 1,116 new cases, total now is 334,156.
* 14,134 active cases
* 156 in ICU, 60 on ventilators."
Malaysia COVID19 Updates,@malaysia_covid,2021-03-22T09:19:33.000Z,"Malaysia COVID 22/3

Confirmed : 334,156 [+1,116] 8 imported
Recovered : 318,784 [+1,495]
Deaths : 1,238 [+5]
ICU : 156 [+2]
Intubated : 60 [-5]
Active Case : 14,134 [-384]

Vac
1st dose : 412,342 (+9,692)
2nd dose : 16,368 (+5,763)

Registered
People : 6,155,213 (+70,625)"
nanad,@nadiahhairul,2021-03-22T08:22:15.000Z,Tengah makan ada 2 org student international tengah borak2. Dia cakap kat kawan dia malaysia has the best passport. If i have malaysian passport i'll be travelling all over the world. *so proud as malaysian*.. but then covid came
Malaysia COVID19 Updates,@malaysia_covid,2021-03-22T07:52:17.000Z,"MySejahtera user will be contacted by the Vaccine Hotline registration towards people who did not register for the vaccine yet to encourage & remind them to register for the vaccine as soon as possible

Phase 2 vaccination programme starts this coming April !"
Tiong Yong Qi,@QiTiong,2021-03-22T03:46:17.000Z,Company send people that has not been exposed for COVID testing to cover up!!!!This company is fucking out of their mind! #intercargo #scandal #bintulu #kkm #malaysia
Richard Bradbury,@MrRich,2021-03-22T02:13:50.000Z,"Today on Enterprise #BizBytes, 
@audsraj
  and 
@thefredaliu
  will be talking about how Malaysia’s own COVID-19 vaccine signup rate is alarmingly low. What can be done to streamline this information, and what is the role of big tech in this scenario?"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-21T06:10:12.000Z,"A suggest to 
@JKJAVMY
 @Khairykj
 

To use the country covid website more efficiently by :
1) Publishing doses delivered to each states
2) Publish doses administered (+by 100 people) & population registered for the vaccine by states
3) Breakdown of Phase 2 & 3 registered & target"
Tan Seng Giaw,@Senggiaw,2021-03-21T02:44:02.000Z,"Demonstrations appear in countries such as Germany because people are unhappy with lockdown. Such grievances are drown by the third way of the Covid-19 pandemic in Europe.
     There are feelings of disappointment due to movement control order in Malaysia."
James Romer Velina,@JamesVelinaLXIX,2021-03-21T01:58:45.000Z,"I think a Malaysia-style response to the covid-19 virus must be formulated and be efficiently implemented here in Philippines to fully contain the covid-19 virus based on science firmly. Among the steps taken in this kind of granular lockdown are:

1.) Stricter measures in areas"
Tan Seng Giaw,@Senggiaw,2021-03-20T12:16:04.000Z,"Another big wave? European nations are busy fighting the third wave of Covid-19 pandemic. Malaysia has a total of 331,713 cases, including 1,671 today. Then?"
TheMalaysianInsight,@msianinsight,2021-03-20T09:34:29.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,229 with 4 new deaths. 
* 1,585 discharged, total remain as 316,042.
* 1,671 new cases, total now is 331,713.
* 14,442 active cases
* 151 in ICU, 64 on ventilators. 

#StaySafeStayHealthy"
Malaysia COVID19 Updates,@malaysia_covid,2021-03-20T09:30:35.000Z,"Malaysia COVID 20/3

Confirmed : 331,713 [+1,671] 2 imported
Recovered : 316,042 [+1,585]
Deaths : 1,229 [+4]
ICU : 151 [-]
Intubated : 64 [+7]
Active Case : 14,442 [+82]

Vac
1st dose : 395,006 (+10,672)
2nd dose : 4,519 (+3,727)

Registered
People : 6,020,358 (+64,414)"
ᵐᵃⁱᵐᵃⁱ ☽,@SantaKpop,2021-03-20T06:43:10.000Z,"They also told their winners that they can’t ship their prizes to them right now because of Covid and because their country closed international mails from out of countries, what is really sus is that the winners are from Malaysia, Indonesia, USA and we have tons on of winners +"
Crooked Chin,@http_apx,2021-03-20T03:51:55.000Z,It took like 3 month to arrived Malaysia sebab COVID 
Effi Saharudin,@1Obefiend,2021-03-20T01:12:38.000Z,#TIL more people died of Covid-19 in Malaysia than in Australia so far.
𝐚𝐬𝐲𝐫𝐚𝐟,@asyrafjackkk,2021-03-19T16:46:35.000Z,Just open the mosque for every single muslim human beings who lives in Malaysia regardless of their races. You said you did this because you wanted to prevent covid from keep spreading in the community. So malaysian muslims can’t spread covid? This is a kind of discrimination.
MosTrans (New Account #3),@No3Mos,2021-03-19T16:21:56.000Z,"#LudeMedia 
Mar 19
cuts ties with 
Malaysia over US extradition
 leaning to 
Yang lectured 
 delegation for 15+ minutes, all filmed
He mentioned Covid-19 control but not origin
might yield on 
, Xinjiang, 
 issues in exchange for leniency on COVID-19."
"۴:۳۰ بیدار بشو شونم
House party",@superjunioriran,2021-03-19T14:41:12.000Z,"Hi 
@RTM_Malaysia
As a fellow concerned Malaysian, i suggest you guys to use this kpop group as another creative way to promote following the SOPs since #HouseParty by 
@SJofficial
 were getting viral for their covid messages and since kpop is a trend nowadays. 

#KitaJagaKita"
ryn,@colsonbakerrr,2021-03-19T14:12:10.000Z,"god damn it this season of drive to survive gotta be the worst. not only they didnt cover ricciardo ending renault's podium drought since malaysia 2011, they didnt cover nico hulkenberg standing in for sergio perez after he tested positive for covid??? no hulkenback is a too much"
Tan Seng Giaw,@Senggiaw,2021-03-19T14:05:23.000Z,"All England Badminton,Men's Singles Quarter Final:Lee Zii Jia (Malaysia world number10) overcame Momota (Japan, World Number 1) in two games.Momota had injury due to traffic accident& Covid-19 infection.
  Players from China, Indonesia，South Korea and Chinese Taipei are absent."
"Chriswoke Pamplemousse
#FBPE",@ChrisMousse3,2021-03-19T13:12:47.000Z,"Japan
Australia
NZ
S.Korea
Taiwan
Indonesia
Vietnam
HK
Singapore
Malaysia
Thailand

Total population,
609,106,713
(
 68,137,890)

Total Covid deaths,
52,107
(
 141,669)

Total Covid deaths per million,
Under 86
(
 over 2,079)

.....but vaccines. "
Malaysia COVID19 Updates,@malaysia_covid,2021-03-19T08:54:41.000Z,"Malaysia COVID 19/3

Confirmed : 330,042 [+1,576] 11 imported
Recovered : 314,457 [+1,996] 95.3%
Deaths : 1,225 [+2] 0.37%
ICU : 151 [-4]
Intubated : 57 [+3]
Active Case : 14,360 [-422]

Vac
1st dose : 367,213 (No data today)

Registered for vaccine
People : 5,955,944 (+88,447)"
Tiong Yong Qi,@QiTiong,2021-03-19T07:43:12.000Z,"second covid confirm cases at Intercargo Sdn Bhd!!!Still nothing is done, everything senyap! #bintulu #COVID19 #Malaysia"
"Hidden Fan
SKRRT!! SKRRT!!",@suju_hidden_fan,2021-03-19T06:36:54.000Z,"Hi 
@RTM_Malaysia
As a fellow concerned Malaysian, i suggest you guys to use this kpop group as another creative way to promote following the SOPs since #HouseParty by 
@SJofficial
 were getting viral for their covid messages and since kpop is a trend nowadays. 

#KitaJagaKita"
Tan Seng Giaw,@Senggiaw,2021-03-19T05:38:15.000Z,"Covid-19 vaccination cannot replace health measures such as wearing masks and social distancing. Countries such as Brazil, France, Germany, Japan and USA are preparing to face third wave of the pandemic. Malaysia?"
Kumaar Family,@kumaarfamily,2021-03-19T03:56:33.000Z,"Honestly, do you think Malaysia’s covid situation will have improved around June/July? Seriously thinking of coming back around that time"
